AU000001,M0000001,Chip Dawes
AU000002,M0000001,Biju Thomas
AU000003,M0000001,Doug Stuns
AU000004,M0000001,Matthew Weishan
AU000005,M0000001,Joseph C. Johnson
AU000006,M0000002,Brian Knight
AU000007,M0000003,Ralph Kimball
AU000008,M0000003,Margy Ross
AU000009,M0000004,Bill Mann
AU000010,M0000005,Ian H. Witten
AU000011,M0000005,Eibe Frank
AU000012,M0000006,Robert D. Schmidt
AU000013,M0000007,Ken Henderson
AU000014,M0000008,Paul Litwin
AU000015,M0000008,Ken Getz
AU000016,M0000008,Mike Gunderloy
AU000017,M0000009,Ben Forta
AU000018,M0000009,Nate Weiss
AU000019,M0000009,Leon Chalnick
AU000020,M0000009,Angela C. Buraglia
AU000021,M0000010,Ramez A. Elmasri
AU000022,M0000010,Shamkant B. Navathe
AU000023,M0000011,Rob Vieira
AU000024,M0000012,Paul DuBois
AU000025,M0000013,Laurell K. Hamilton 
AU000026,M0000014,Sue Monk Kidd
AU000027,M0000015,Tara Calishain
AU000028,M0000015,Rael Dornfest
AU000029,M0000016,Jay P. Decima 
AU000030,M0000017,Wladyslaw Szpilman
AU000031,M0000018,Roma Ligocka
AU000032,M0000019,Michael Cunningham
AU000033,M0000020,Larry Bossidy
AU000034,M0000020,Ram Charan
AU000035,M0000020,Charles Burck
AU000036,M0000021,James Patterson
AU000037,M0000021,Andrew Gross
AU000038,M0000022,Jeffery Deaver
AU000039,M0000023,Jacquelyn Mitchard
AU000040,M0000024,Patrick Lencioni
AU000041,M0000025,Mary Higgins Clark
AU000042,M0000026,Dee Henderson
AU000043,M0000027,Ann Patchett
AU000044,M0000028,Karen Marie Moning
AU000045,M0000029,Suzanne Brockmann
AU000046,M0000030,Steven Pinker
AU000047,M0000031,Albert-L_szl¢ Barab_si 
AU000048,M0000032,Edward Osborne Wilson 
AU000049,M0000033,Edward Osborne Wilson 
AU000050,M0000034,Stephen Wolfram 
AU000051,M0000035,Harold McGee
AU000052,M0000036,Francis D. K. Ching
AU000053,M0000036,Cassandra Adams
AU000054,M0000037,Virginia McAlester
AU000055,M0000037,Lee McAlester
AU000056,M0000038,Bryan Burkhart
AU000057,M0000038,Allison Arieff
AU000058,M0000039,Ralph R. Kylloe 
AU000059,M0000040,Leslie Plummer Clagett 
AU000060,M0000041,Gerard Gefen
AU000061,M0000041,Christine Bastin
AU000062,M0000041,Jacques Evrard
AU000063,M0000042,Donald Kaufman
AU000064,M0000042,Taffy Dahl
AU000065,M0000042,Laurel Graeber
AU000066,M0000042,Tina Freeman 
AU000067,M0000043,"Simon Benninga, Benjamin Czaczkes "
AU000068,M0000044,Mark Grinblatt
AU000069,M0000044,Sheridan Titman
AU000070,M0000045,Robert C. Higgins 
AU000071,M0000046,Paul Marcus Fischer
AU000072,M0000046,William James Taylor
AU000073,M0000046,Rita Hartung Cheng
AU000074,M0000047,Donald E. Kieso
AU000075,M0000047,Jerry J. Weygandt
AU000076,M0000047,Terry D. Warfield
AU000077,M0000048,Lawrence Revsine
AU000078,M0000048,Daniel W. Collins
AU000079,M0000048,W. Bruce Johnson
AU000080,M0000049,Nicholas Sparks 
AU000081,M0000050,Mary Higgins Clark 
AU000082,M0000051,Don DeLillo
AU000083,M0000052,Stephen King
AU000084,M0000053,Mark Z. Danielewski 
AU000085,M0000054,Michael Romkey 
AU000086,M0000055,Chuck Palahniuk 
AU000087,M0000056,Matthew Delaney
AU000088,M0000057,Stephen King
AU000089,M0000058,Stephen King
AU000090,M0000058,Bernie Wrightson
AU000091,M0000059,Stephen King 
AU000092,M0000060,Don DeLillo
AU000093,M0000061,Don DeLillo 
AU000094,M0000062,Don DeLillo 
AU000095,M0000063,Francis D. K. Ching
AU000096,M0000064,Francis D. K. Ching
AU000097,M0000065,Ann Patchett 
AU000098,M0000066,Ann Patchett 
AU000099,M0000067,Steven Pinker 
AU000100,M0000068,Steven Pinker 
AU000101,M0000069,Steven Pinker 
AU000102,M0000070,Edward Osborne Wilson 
AU000103,M0000071,Edward Osborne Wilson 
AU000104,M0000072,Nicholas Sparks 
AU000105,M0000073,Nicholas Sparks 
AU000106,M0000074,Nicholas Sparks 
AU000107,M0000075,Simon Benninga 
AU000108,M0000076,Jeffrey M. Wooldridge 
AU000109,M0000077,Jeffrey M. Wooldridge 
AU000110,M0000078,Steven J. Root 
AU000111,M0000079,Ken Coffman 
AU000112,M0000080,Gerald Carter 
AU000113,M0000081,Scott Kelby 
AU000114,M0000082,Scott Kelby 
AU000115,M0000083,Scott Kelby 
AU000116,M0000084,B. J. Fogg 
AU000117,M0000085,Michael Meyers 
AU000118,M0000086,Carl Sagan 
AU000119,M0000087,Carl Sagan 
AU000120,M0000088,Carl Sagan 
AU000121,M0000089,Carl Sagan 
AU000122,M0000090,Carl Sagan 
AU000123,M0000091,Alice Sebold 
AU000124,M0000092,Alice Sebold
AU000125,M0000093,Ian McEwan 
AU000126,M0000094,Ian McEwan 
AU000127,M0000095,Ian McEwan 
AU000128,M0000096,Ian McEwan 
AU000129,M0000097,Nora Roberts 
AU000130,M0000098,Nora Roberts 
AU000131,M0000099,Nora Roberts 
AU000132,M0000100,Nora Roberts 
AU000133,M0000101,Andy Rae 
AU000134,M0000102,Andy Rae 
AU000135,M0000103,Joseph Truini 
AU000136,M0000104,Terry Pratchett
AU000137,M0000105,Terry Pratchett
AU000138,M0000106,Terry Pratchett
AU000139,M0000107,Terry Pratchett
AU000140,M0000108,Terry Pratchett
AU000141,M0000109,Terry Pratchett